auction_date,type,term,cusip,reopening,offering_amount
2024-07-23,Note,2-Year,91282CLB5,No,69000000000
2024-07-24,Note,5-Year,91282CLC3,No,70000000000
2024-07-25,Note,7-Year,91282CLD1,No,44000000000
2024-08-06,Note,3-Year,91282CLG4,No,58000000000
2024-08-07,Note,10-Year,91282CLF6,No,42000000000
2024-08-08,Bond,30-Year,912810UC0,No,25000000000
2024-08-21,Bond,20-Year,912810UD8,No,16000000000
2024-08-27,Note,2-Year,91282CLH2,No,69000000000
2024-08-28,Note,5-Year,91282CLK5,No,70000000000
2024-08-29,Note,7-Year,91282CLJ8,No,44000000000
2024-09-10,Note,3-Year,91282CLL3,No,58000000000
2024-09-11,Note,9-Year 11-Month,91282CLF6,Yes,39000000000
2024-09-12,Bond,29-Year 11-Month,912810UC0,Yes,22000000000
2024-09-17,Bond,19-Year 11-Month,912810UD8,Yes,13000000000
2024-09-24,Note,2-Year,91282CLP4,No,69000000000
2024-09-25,Note,5-Year,91282CLN9,No,70000000000
2024-09-26,Note,7-Year,91282CLM1,No,44000000000
2024-10-08,Note,3-Year,91282CLQ2,No,58000000000
2024-10-09,Note,9-Year 10-Month,91282CLF6,Yes,39000000000
2024-10-10,Bond,29-Year 10-Month,912810UC0,Yes,22000000000
2024-10-23,Bond,19-Year 10-Month,912810UD8,Yes,13000000000
2024-10-28,Note,2-Year,91282CLS8,No,69000000000
2024-10-28,Note,5-Year,91282CLR0,No,70000000000
2024-10-29,Note,7-Year,91282CLU3,No,44000000000
2024-11-04,Note,3-Year,91282CLX7,No,58000000000
2024-11-05,Note,10-Year,91282CLW9,No,42000000000
2024-11-06,Bond,30-Year,912810UE6,No,25000000000
2024-11-20,Bond,20-Year,912810UF3,No,16000000000
2024-11-25,Note,2-Year,91282CLY5,No,69000000000
2024-11-26,Note,5-Year,91282CMA6,No,70000000000
2024-11-27,Note,7-Year,91282CLZ2,No,44000000000
2024-12-10,Note,3-Year,91282CMB4,No,58000000000
2024-12-11,Note,9-Year 11-Month,91282CLW9,Yes,39000000000
2024-12-12,Bond,29-Year 11-Month,912810UE6,Yes,22000000000
2024-12-17,Bond,19-Year 11-Month,912810UF3,Yes,13000000000
2024-12-23,Note,2-Year,91282CME8,No,69000000000
2024-12-24,Note,5-Year,91282CMD0,No,70000000000
2024-12-26,Note,7-Year,91282CMC2,No,44000000000
2025-01-06,Note,3-Year,91282CMF5,No,58000000000
2025-01-07,Note,9-Year 10-Month,91282CLW9,Yes,39000000000
2025-01-08,Bond,29-Year 10-Month,912810UE6,Yes,22000000000
2025-01-22,Bond,19-Year 10-Month,912810UF3,Yes,13000000000
2025-01-27,Note,2-Year,91282CMH1,No,69000000000
2025-01-27,Note,5-Year,91282CMG3,No,70000000000
2025-01-28,Note,7-Year,91282CMK4,No,44000000000
2025-02-11,Note,3-Year,91282CMN8,No,58000000000
2025-02-12,Note,10-Year,91282CMM0,No,42000000000
2025-02-13,Bond,30-Year,912810UG1,No,25000000000
2025-02-19,Bond,20-Year,912810UJ5,No,16000000000
2025-02-24,Note,2-Year,91282CMP3,No,69000000000
2025-02-25,Note,5-Year,91282CGQ8,Yes,70000000000
2025-02-26,Note,7-Year,91282CMR9,No,44000000000
2025-03-11,Note,3-Year,91282CMS7,No,58000000000
2025-03-12,Note,9-Year 11-Month,91282CMM0,Yes,39000000000
2025-03-13,Bond,29-Year 11-Month,912810UG1,Yes,22000000000
2025-03-18,Bond,19-Year 11-Month,912810UJ5,Yes,13000000000
2025-03-25,Note,2-Year,91282CMV0,No,69000000000
2025-03-26,Note,5-Year,91282CMU2,No,70000000000
2025-03-27,Note,7-Year,91282CMT5,No,44000000000
2025-04-08,Note,3-Year,91282CMW8,No,58000000000
2025-04-09,Note,9-Year 10-Month,91282CMM0,Yes,39000000000
2025-04-10,Bond,29-Year 10-Month,912810UG1,Yes,22000000000
2025-04-16,Bond,19-Year 10-Month,912810UJ5,Yes,13000000000
2025-04-22,Note,2-Year,91282CMY4,No,69000000000
2025-04-23,Note,5-Year,91282CMZ1,No,70000000000
2025-04-24,Note,7-Year,91282CNA5,No,44000000000
2025-05-05,Note,3-Year,91282CND9,No,58000000000
2025-05-06,Note,10-Year,91282CNC1,No,42000000000
2025-05-08,Bond,30-Year,912810UK2,No,25000000000
2025-05-21,Bond,20-Year,912810UL0,No,16000000000
2025-05-27,Note,2-Year,91282CNE7,No,69000000000
2025-05-28,Note,5-Year,91282CNG2,No,70000000000
2025-05-29,Note,7-Year,91282CNF4,No,44000000000
2025-06-10,Note,3-Year,91282CNH0,No,58000000000
2025-06-11,Note,9-Year 11-Month,91282CNC1,Yes,39000000000
2025-06-12,Bond,29-Year 11-Month,912810UK2,Yes,22000000000
2025-06-16,Bond,19-Year 11-Month,912810UL0,Yes,13000000000
2025-06-24,Note,2-Year,91282CNL1,No,69000000000
2025-06-25,Note,5-Year,91282CNK3,No,70000000000
2025-06-26,Note,7-Year,91282CNJ6,No,44000000000
2025-07-08,Note,3-Year,91282CNM9,No,58000000000
2025-07-09,Note,9-Year 10-Month,91282CNC1,Yes,39000000000
2025-07-10,Bond,29-Year 10-Month,912810UK2,Yes,22000000000
2025-07-23,Bond,19-Year 10-Month,912810UL0,Yes,13000000000
2025-07-28,Note,2-Year,91282CNP2,No,69000000000
2025-07-28,Note,5-Year,91282CNN7,No,70000000000
2025-07-29,Note,7-Year,91282CNR8,No,44000000000
2025-08-05,Note,3-Year,91282CNU1,No,58000000000
2025-08-06,Note,10-Year,91282CNT4,No,42000000000
2025-08-07,Bond,30-Year,912810UM8,No,25000000000
2025-08-20,Bond,20-Year,912810UN6,No,16000000000
2025-08-26,Note,2-Year,91282CNV9,No,69000000000
2025-08-27,Note,5-Year,91282CNX5,No,70000000000
2025-08-28,Note,7-Year,91282CNW7,No,44000000000
2025-09-09,Note,3-Year,91282CNY3,No,58000000000
2025-09-10,Note,9-Year 11-Month,91282CNT4,Yes,39000000000
2025-09-11,Bond,29-Year 11-Month,912810UM8,Yes,22000000000
2025-09-16,Bond,19-Year 11-Month,912810UN6,Yes,13000000000
2025-09-23,Note,2-Year,91282CPB1,No,69000000000
2025-09-24,Note,5-Year,91282CPA3,No,70000000000
2025-09-25,Note,7-Year,91282CNZ0,No,44000000000
2025-10-07,Note,3-Year,91282CPC9,No,58000000000
2025-10-08,Note,9-Year 10-Month,91282CNT4,Yes,39000000000
2025-10-09,Bond,29-Year 10-Month,912810UM8,Yes,22000000000
2025-10-22,Bond,19-Year 10-Month,912810UN6,Yes,13000000000
2025-10-27,Note,2-Year,91282CPE5,No,69000000000
2025-10-27,Note,5-Year,91282CPD7,No,70000000000
2025-10-28,Note,7-Year,91282CPF2,No,44000000000
2025-11-10,Note,3-Year,91282CPK1,No,58000000000
2025-11-12,Note,10-Year,91282CPJ4,No,42000000000
2025-11-13,Bond,30-Year,912810UP1,No,25000000000
2025-11-19,Bond,20-Year,912810UQ9,No,16000000000
2025-11-24,Note,2-Year,91282CPL9,No,69000000000
2025-11-25,Note,5-Year,91282CPN5,No,70000000000
2025-11-26,Note,7-Year,91282CPM7,No,44000000000
2025-12-08,Note,3-Year,91282CPP0,No,58000000000
2025-12-09,Note,9-Year 11-Month,91282CPJ4,Yes,39000000000
