auction_date,type,term,cusip,reopening,offering_amount
2008-08-07,Bond,29-Year 9-Month,912810PX0,No,10000000000
2008-08-27,Note,2-Year,912828JJ0,No,32000000000
2008-08-28,Note,5-Year,912828JK7,No,22000000000
2008-09-11,Note,9-Year 11-Month,912828JH4,Yes,12000000000
2008-09-24,Note,2-Year,912828JL5,No,34000000000
2008-09-25,Note,5-Year,912828JM3,No,24000000000
2008-10-08,Note,6-Year 7-Month,912828DV9,Yes,10000000000
2008-10-08,Note,6-Year 10-Month,912828EE6,Yes,10000000000
2008-10-09,Note,6-Year 4-Month,912828DM9,Yes,10000000000
2008-10-09,Note,9-Year 4-Month,912828HR4,Yes,10000000000
2008-10-28,Note,2-Year,912828JP6,No,34000000000
2008-10-30,Note,5-Year,912828JQ4,No,24000000000
2008-11-10,Note,3-Year,912828JU5,No,25000000000
